	aspect term	text
1054	;cursor;mousepad	Your cursor will end up all over the freaking place,,,it's not uncommon for me to accidentally delete words, sentences, paragraphs because of this mousepad.
1055	;features;printer software	Other installed features, such as certain printer software, are also most attractive.
1056	;power;memory;speed	I work in film editing and post production, so I need a laptop that not only has power, but memory and speed as well.
1057	;seventeen inch screen	It had a seventeen inch screen which I wanted, but I didn't realize at the time it would be such a monster!
1058	;hinge	Even doing so, the hinge may just be slightly tightened only.
1059	;shipping	company provides UPS shipping, fast, great!
1060	;technician	I would tell the technician I knew exactly what was wrong with it but they did not listen and I had to go through a bunch of junk to get them to tell me I needed to send the computer in.
1061	;dc jack;dc jack;power brick	  Then I've fixed the DC jack (inside the unit), rewired the DC jack to the OUTside of the laptop, replaced the power brick.
1062	;screen quality;use	It is easy to use, has great screen quality, and every so light weight.
1063	;graphics;use	Great product, very easy to use and great graphics.
1064	;ilife software;use	The iLife software that comes with the computer is so simple to use and produces a great finished product.
1065	;built-in webcam	The built-in webcam is great for Skype and similar video-chat services.
1066	;service center	The shop will definitely push the problem to the service center.
1067	;word;pages	PC users work in Word, while Mac users work in Pages.
1068	;applications;internet;gaming	While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.
1069	";17"" inch screen;price-point;appearance;boots up;runs"	"This laptop looks great on the surface: 17"" inch screen, good  price-point, nice appearance, boots up quickly, runs fast etc."
1070	;specifications;over priced	The apple systems are over priced luxurys that arn't worth what they are being charged for, this model's specifications are far from being impressive and they only thing you get out of this is the apple name.
1071	;battery life	pros:  the macbook pro notebook has a large battery life and you wont have to worry to charge your laptop every five hours or so.
1072	;screen;price	Disappointing for such a lovely screen and at a reasonable price
1073	;batteries	The only bad thing about it is they give you the worst batteries possible.
1074	;price	Good price.
1075	;motherboard	 THE MOTHERBOARD IS DEAD !
1076	;speed	the speed is fine.
1077	;retail price	Hmmm - that high failure rate sure isn't reflected in the retail price.
1078	;microsoft student edition	It was not clear that the Microsoft Student Edition that was loaded on the computer, was a six month trial.
1079	;web browsing;every day computing	Good for every day computing and web browsing.
1080	;functions	While lacking some of the functions of the other versions, this was very acceptable for the uses planned for this computer.
1081	;keys	  Also, I have had alot of trouble with the keys sticking and will not type correctly.
1082	;led monitor	Excellent LED monitor and well equipped.
1083	;mother board;hard drive	  This process continued to repeat itself until the mother board had been replaced 4 times and the hard drive replaced 3 times.
1084	;design	Without a doubt, the *design* of this laptop is fantastic.
1085	;battery;charge	I couldn't believe how long the battery lasted on a single charge.
1086	;memory	I could save ten essay papers and have hardly any memory left.
1087	;gaming	Other than that, I would recommend this to someone in need of a cheap laptop with semi-decent gaming capabilities.
1088	;screen size	This is the first time that I tried and owning a netbook although I have used 3 different laptops in the past 10 years, I find not much difference except of course for the screen size.
1089	;tech support	But the biggest pain is that tech support is not available 24/7.
1090	;backlit keys	The backlit keys are wonderful when you are working in the dark.
1091	;screen	I chose the iBookG4, a laptop that is an attractive computer with a large screen big enough to please anyone.
1092	;safari internet browser;firefox	The most recent being that my Safari internet browser is freaking out on me, but I have just been using firefox instead.
1093	;use	Everything about the Mac is not only visually appealing, but very easy to use.
1094	;battery	I know what 7 hrs of battery looks like.
1095	;support line	I did not have to call the support line at all.
1096	;windows 7 starter;windows 7	The laptop is outstanding in all aspects except that it has the Windows 7 starter and not the full Windows 7.
1097	;keyboard function	THE FIRST PROBLEM IS THAT THE KEYBOARD FUNCTION IS SIMPLY UNSATISFACTORY.
1098	;dvd drive	The DVD drive randomly pops open when it is in my backpack as well, which is annoying.
1099	;garageband;microphone	Garageband is more for the musicians, and the laptop is equipped with a good working microphone, good enough for beginners and musicians at the intermediate level.
1100	;linux;security-prone os;performs	I dual boot with Linux and that other security-prone OS and it performs flawlessly.
1101	;memory;hard drive space	The difference is the Toshiba had a lot more memory and hard drive space.
1102	;firewire cable system;ibook	There was a little difficulty doing the migration as the firewire cable system can't be used with the iBook.
1103	;shipment	Seems like maybe a bad shipment from Toshiba.
1104	;os x;quicklook	OS X is solid with lots of innovations such as quicklook which save heaps of time.
1105	;features	But other than that I am blown away by all the features this laptop offers.
1106	;keyboard	The keyboard is slick and quiet and not bulky like some other laptops I have had in the past.
1107	;design;colors	Overall, this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic colors to choose from.
1108	;screen	First the screen goes completely out.
1109	;mousepad;browsing	I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.
1110	;photobooth;program;built-in camera	The PhotoBooth is a great program, it takes very good pictures with the built-in camera.
1111	;software	Many kinds of software that is necessary to the working person is not available and cannot be downloaded.
1112	;shipping	I had to pay for the shipping!
1113	;chrome	It bluescreened on me without any warning, running simply basic Chrome.
1114	;prices	I took 3-4 years researching brands and prices of laptops.
1115	;price	We researched and found the best price at MacConnection.
1116	;external dvd drive;external drive	But guess what?  (you have to buy an external dvd drive it doesn't have a built in type) The notebook can't be used because it doesn't read anything for an external drive.
1117	;portability;processing	GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!
1118	;cooling pad	I use a cooling pad but it doesn't help.
1119	;supplied software;software;windows	Supplied software: The software that comes with this machine is greatly welcomed compared to what Windows comes with.
1120	;service	I'm tired of the inept service.
1121	;garageband;apple applications	Garageband is easy to work with, like all the other apple applications I've had experience with.
1122	;bios;bios	"No, tey don't even support their own bios and it ""could be a problem with the bios"" How can a company that makes a fairly decent product get away with such insanity??!!"
1123	;extended warranty	Because we did not purchase the extended warranty in time, we are on the hook for the repair.
1124	;charging;charge;charge	"It started out by randomly ceasing to charge when it was plugged in (mousing over the battery icon would read, for example, ""74%, plugged in, not charging""), requiring me to unplug it and plug it back in several times to get it to charge."
1125	;shipped	This laptop looked brand new and was shipped very quickly.
1126	;windows;kernal	Info: Windows failed to load because the kernal is missing, or corrupt.
1127	;display;battery life	The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.
1128	;quality	But the quality, in general was less than the worth of the cheap laptop.
1129	;hardrive	In the first moth of owning this computer its hardrive failed which had to be replaced.
1130	;use	Its also FUN to use!
1131	;graphics;screen	The graphics and screen are stunning and although I was a PC person, I was able to understand how to use a mac fairly quickly.
1132	;upgraded memory;applications;running	WIth the upgraded memory, the MacBook Pro never has an issue running many many applications at once!
1133	;graphics;use	Simple to use, and great graphics.
1134	;internet speed	The internet speed is spectacular.
1135	;call center	They claim call center is still down.
1136	;apps;programs	Mac also has many apps and programs that are quite cheap or free.
1137	;games	My husband uses it mostly for games, email and music.
1138	;cords	I just took the broken cords into the Apple store and they gave me new ones.
1139	;screen;screen	Apparently under the screen there are 2 little screws and when the screen gets moved back and forth, they come loose.
1140	;os	Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.
1141	;fan	The computer will constantly be getting hot and burning your leg unless you go through the hassle of taking off the entire back of it just to clean out the fan.
1142	;edges	"I have in the past gotten superfine sandpaper and ""fixed"" the edges by rounding them off."
1143	;edges	Downfalls: sharp edges.
1144	;carry	i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.
1145	;screen	The screen is gorgeous - yummy good.
1146	;size;weight;keyboard	Did I mention everything about it, from size to weight to keyboard screams BULK?
1147	;disc drive	I had it four months when my disc drive refused to open.
1148	;hard drive	So, after Apple replaced the hard drive I enjoyed another 4 months of my new computer, until it froze this morning--completely.
1149	;power supply	Once again, I was told it was the suspicious  power supply  problem.
1150	;display;starts	"The Macbook starts fast, doesn't crash, has a fantastic display, is small and light (I have the 13.3"" model), and isn't always complaining about updates, lost connections, errors, blue screens, etc."
1151	;boot up	Unable to boot up this brand new laptop.
1152	;pages;keynotes	In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.
1153	;hard drive;mother board;dvd drive	 I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!
1154	;hinge	"The guy then said that if I insist on having the hinge tightened, they can do it for me but I have to accept the condition after the ""repair""."
1155	;motherboard;port;plug	The port is secured to motherboard so when this  happens you can't see the plug at all, it's just gone.
1156	;key board;trackpad	I love the feel of the key board, as well as the trackpad.
1157	;power;ease	Now I have the best of both worlds with all of the power and ease of the Mac!
1158	;use	Ease of use is just one of the benefits I love about my Mac.
1159	;touchpad	-Touchpad will take a bit of time to get used to.
1160	;connection card;warranty;warranty	Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.
1161	;4gb of ram;8gb of ram	But, buy this model and just purchase 4GB of RAM (2x2GB for $92 or 1x4GB for $99), and save yourself $100 than the other model with 8GB of RAM.
1162	;game	If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a machine aimed at that segment of the market.
1163	;browsing;itunes	Browsing, also, was no problem for me when I used itunes ( which usually slows down my PC ).
1164	;price	Again, decent comp for the price, and I was in need of one quickly as my other laptop died on me.
1165	;setup	so in a brief summary i would have to say that i would not recommend dell vostro 1000 to anyone due to it being a down right awful setup so in my opinion you should steer clear of them if you want a decent laptop.
1166	;motherboard	My friend just had to replace his entire motherboard, so did my wife, and it looks like I will have to as well.
1167	;toshiba customer services	  Toshiba customer services will indirectly deal with your problems by constantly tranferring you from one country to another, and I am not kidding you, I called different hours of the day and you'll get someone else from another country trying to get you to tell them your life story all over again, since they make it sound like they don't have your history list of your calls right in front of them.
1168	;quality display;performance;quality	Quality Display  I was surprised with the performance and quality of this HP Laptop.
1169	;battery life	The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.
1170	;internet capabilities	The internet capabilities are also very strong and picks up signals very easily.
1171	;high definition quality	Its fast, has High definition quality in the videos.
1172	;speakers	Speakers don't get that loud, but good enough.
1173	;beast graphics	Another Great thing is the Beast graphics.
1174	;set up	The ease of set up was terrific.
1175	;wall charger;battery	Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.
1176	;screen	Screen is crystal clear, yes it's small - but it's a netbook!
1177	;battery life	The battery life is probably an hour at best.
1178	;windows vista system	This is a review of windows vista system.
1179	;function keys	cosmetically, the only thing they changed was 2 of the Function keys at the top.
1180	;bios	But sadly the replacement froze-up while updating the BIOS again and shut down and would not turn back on.
1181	;vista	  There's literally no way to make it sing with Vista.
1182	;screen size	Screen size is perfect for portable use in any environment.
1183	;push button;lid	First, it does not have a push button to open the lid.
1184	;pentium 4;1 gb ram	I used to build my own desktops from the component parts, and recently my 7 year old Pentium 4 with HT 1 GB ram SATA desktop stopped working (this was a rock star 7 years ago).
1185	;windows	I now realize that my $900 would have been better spent on a Windows laptop.
1186	;word processor	) And printing from either word processor is an adventure.
1187	;interface device	After purchasing this thing, I find out that I need a special interface device to connect my camera, and that it cannot be purchased at the store - only on line.
1188	;included program	Another included program that is laughable is the chess game.
1189	;expese	Yes, I thought the expese was a little much, but I now realize you get what you pay for.
1190	;microsoft office apps;internet use	It works great for general internet use, Microsoft Office apps, home bookkeeping, etc.
1191	;price;quality	The price was very good, and the product is top quality.
1192	;games;aero	It played various games without problems and ran aero smoothly and flawlessly.
1193	;hard drive;battery	After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.
1194	;screen	  The screen almost looked like a barcode when it froze.
1195	;operation	From the get-go, the M6809 was unsteady in its operation;
1196	;screen	Its small enough where I can take it pretty much anywhere, but still has a big enough screen to get everything done.
1197	;webcam;skype	It even has a great webcam, and Skype works very well.
1198	;machined aluminum frame;keyboard	I love the solid machined aluminum frame, and the keyboard is the best of any laptop I've used.
1199	;parallels type program;software	You can even run a parallels type program easily and run any leftover PC software that you absolutely cannot be without.
1200	;design	This computer I used daily nice compact design.
1201	;ati graphics card;intel built-in card;games	The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.
1202	;handle;operate	It was hard to handle and operate at school.
1203	;features;speed;power	It has easy to use features and all the speed and power I could ask for.
1204	;power supply cord;applecare warranty plan	My power supply cord developed exposed wires within the first year of ownership, so it was covered by the Applecare warranty plan.
1205	;13 inch	I preferred the fit and feel of the 13 inch.
1206	;power supply	power supply went bad after 2 weeks --
1207	;screen	The screen takes some getting use to, because it is smaller than the laptop.
1208	;use	I regret buying it before understanding how awful it is to use.
1209	;right speaker	The right speaker did not work.
1210	;support	  Dealing with the support drone on the other end of the chat was sheer torture.
1211	;final cut pro	The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.
1212	;runs	The computer runs extremely slowly, whether opening Word or My Computer.
1213	;mac snow leopard o/s;win xp;visa;win7;use	The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.
1214	;startup;shutdown;resume from sleep	Startup in about 30 seconds, shutdown in 2-4 seconds, resume from sleep in 0-2 seconds.
1215	;screen;keyboard;fit	The screen is nice and the images comes very clear, the keyboard and the fit just feels right.
1216	;windows	I have only had PCs with Windows before so this takes a little getting use to.
1217	;processor;graphics card	super fast processor and really nice graphics card..
1218	;size;external keyboard;mouse;monitor	But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.
1219	;windows 7 system	The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.
1220	;weight;size	I dislike the weight and size, cubersome.
1221	;wheel	The wheel that turns the volume up and down doesn't work in real time.
1222	;service	I cannot be happier with the service or product.
1223	;flatline keyboard	I do transcription work on the side, and the flatline keyboard makes typing quick and easy as well.
1224	;speakers	Speakers doesn't sound that great.
1225	;windows 7;ergonomics;connections	I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.
1226	;applecare tech support	After numerous calls to Applecare tech support, I was directed to send in my computer;
1227	;power plug	"The ""abuse"" is that I pushed the power plug in too hard."
1228	;resolution on the screen	The resolution on the screen is almost pure HD.
1229	;programs;ilife;iwork	With all the programs that came with it, such as iLife and iWork, I was set from the very beginning.
1230	;gaming	Not sure how I recommend it for quality gaming, as I have a desktop rig for that reason.
1231	;delivery;value	Great value, fast delivery- Computer works as if brand new, no problems, very pleased
1232	;internet explorer	The Internet Explorer was very slow from the very beginning.
1233	;ac power port	The AC power port becomes loose over time
1234	;running system	"As a user of a PC, I will will admit that the macBook Pro has a better running system in which I found myself ""Getting the job done quicker."
1235	;programs	There are no gold key numbers too intall programs, you must use the serial numbers that it does not accept and then things are limited as far a working because they are only good for a short time.
1236	;power supply;power supply	and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the machine itself.
1237	;force;durability	Enjoy that Toshib force and durability unparalleled
1238	;vista business	Which is great I am running Vista Business and scored a 5.X on the index I have never seen a windows machine have a total score in the 5's.
1239	;surf the web	I use the computer to basically check emails, surf the web, print coupons and for my college papers.
1240	;size of the screen;tote	We love the size of the screen, although it is still lightweight and very easy to tote around.
1241	;work	so the fact that the computer does not work on the 24 twenty fourth day is my fault.
1242	;use	I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.
1243	;battery	  the battery is irreplaceable.
1244	;win 7;2gb stick of memory	If you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of memory to spice it all up a bit more.
1245	;norton	I have never really been big on downloading anything so I wasn't too worried about getting a virus, plus I thought I was protected by Norton.
1246	;internet;command prompt	The internet was locekd and froze every time it was trying to be used, and the command prompt would not work at all.
1247	;software;speed	It's software and speed enable it to do amazing things.
1248	;hard drive	Could not keep up with me and finally the hard drive went out.
1249	;programming;iphoto	I am most impressed with the programming, including the iPhoto.
1250	;speakers	Speakers too small to be of any real use.
1251	;ram	I upgraded it's RAM to 2GB, I am very happy with it.
1252	;speakers	I purchased a Toshiba Satellite M60 (with harman/kardon speakers!) in December of 2005.
1253	;memory;vista	They should have included more memory on their computers if they knew Vista would run slowly.
1254	;battery life;price	Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!
1255	;battery;charge;charge	The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.
1256	;warrenty;hard drive	  After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.
1257	;windows 7 starter	The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics.
1258	;icon list;desktop icons	The neat and organized icon list is a welcome change from cluttered and confusing desktop icons.
1259	;warranty	I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.
1260	;price;performance;built;look	Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.
1261	;apple care	The apple care has never failed me, and I expect it to be the same for this computer as well.
1262	;use	The Toshiba laptop I am using is easier to use than most I have tried.
1263	;warranty	So I called Compaq, and after being on the phone for 3 hours, i finally got a replacement which I shouldn't have had a problem getting since it was under warranty.
1264	;work	So we exchanged it for the same on and after 2 hours it didn't work.
1265	;size;keyboard;functions	I love the size, keyboard, the functions.
1266	;mouse	the mouse is way way way to sensitve.
1267	;os;run	The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.
1268	;screen	Also, I issued a replacement RMA for a few dead pixels in the upper zone of the screen, which is noticable to me.
1269	;delivery service	After way too many times sending the thing in for repairs (delivery service was slow, and without the laptop I had no access to the internet, and thus no way of tracking it to find out when I might hope to see my computer again), it finally kicked the bucket after just over 2 years.
1270	;performance;picture quality;use	My friend reports the notebook is astonishing in performance, picture quality, and ease of use.
1271	;i3 processor;fan	the i3 processor doesn't seem to run hot and the fan rarely turns on.
1272	;battery;charge;charge	  The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.
1273	;mousepad;keys;casing	  Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.
1274	;operating system	See when it comes to laptops you buy it and get just a normal operating system with trials of must need stuff that should come with it.
1275	;resolution of the screen	The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.
1276	;touchpad	"The only thing I wish this had was the option to turn off the touchpad with a button like my big 16"" laptop does."
1277	;battery life	very convenient when you travel and the battery life is excellent...
1278	;boot up	  The machine is slow to boot up and occasionally crashes completely.
1279	;charge	This is great if you have several lectures back to back and don't have a chance to charge during one of the lectures.
1280	;os	I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff.
1281	;screen brightness	the screen brightness automatically adjusts.
1282	;backlit keyboard	I especially like the backlit keyboard.
1283	;look	Besides the great look, it is a great machine.
1284	;cost	My laptop cost approximately $2,300 and DIED after only 2-years, 10-months and 18-days of use.
1285	;sound	The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones.
1286	;sata controller;motherboard chip;cpu;hard drive	(The SATA controller is the motherboard chip that lets the CPU talk to the hard drive.)
1287	;buttons	The buttons you have to press a little harder than most.
1288	;battery life;battery;battery	The battery life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.
1289	;size;weight;portability	Right size and weight for portability.
1290	;battery life	The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.
1291	;windows vista home premium;1gb of ram	  It was loaded with Windows Vista Home Premium--delivered with only 1GB of RAM, and it was a *dog*.
1292	;display;brightness	The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.
1293	;electronic fuzz sound;headphone jack	My one complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in.
1294	;keyboard	While it was highly rated, would I like it? I tried the keyboard at the store, and it seemed ok.
1295	;quality	Treat yourself to a more expensive, long-lasting laptop of quality like a Sony, Apple, or Toshiba.
1296	;warranty	I have had to call with a few questions or issues and they have helped me for free, even without the warranty.
1297	;power supply	Was searching online for a power supply when I found this site.
1298	;gaming;graphics editing;complex data analysis	But to be honest, I don't use my computer for anything like graphics editing and complex data analysis and gaming.
1299	;costs	  I would  rather spend my money on a computer that costs more then a Toshiba that  isn't good at all.
1300	;shipping	(No problem with the ordering or shipping by the way.
1301	;ram;performance;surf the web	And the ram (the thing that makes it faster) comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before.
1302	;hardcopy manuel	The one thing I wish it had was a detailed hardcopy manuel.
1303	;drive	I edit and burn to DVD a lot of video, so I obviously could not live with a non-functioning drive.
1304	;visual	Fast, great visual!
1305	;priced;works	It's priced very reasonable and works very well right out of the box.
1306	;os	You will need them if you want to reload the OS (I recommend doing if you can to start fresh and optimal).
1307	;keyboard;plate;mouse command buttons	while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.
1308	;features	There are so many wonderful features and benefits to the new MacBook!
1309	;speeds	the mcbook pro notebook will make it easy for you to write and read your emails at blazing speeds.
1310	;touch pad	The only thing i can say is that the touch pad doesnt work like it should all the time.
1311	;size;features;lighted keyboard;mouse pad	However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.
1312	;battery life	Battery life needs more life.
1313	;operation system	For some odd reasons the computer doesn't reconize the operation system.
1314	;trackpad	The trackpad was easy to learn and navigate.
1315	;applications	Applications open in seconds and there are no lags, hiccups or awkward moments when you wonder whether your computer is out for tea.
1316	;hard drive	I respond that I do not have the old computer and this way I would lose the data on my hard drive.
1317	;windows;warrenty;agents	Again in February my computer completely failed to the point that it could not load Windows so I contacted Acer to get it fixed thru my Warrenty and it took about 3 days fighting on the phone with agents and it seemed as though NONE of them spoke English.
1318	;keyboard	Even though the computer is larger they did not make the keyboard larger.
1319	;three year warranty;extended warranty	We paid for the three year warranty and the extended warranty after that one ended as well.
1320	;internet	Its not just slow on the internet, its slow in general.
1321	;ram;memory	It has just enough RAM to run smoothly and enough memory to satisfy my needs.
1322	;nvidia grafics card	I acually believe the issue is with the Nvidia grafics card, but still requires a return.
1323	;work	My husband got me this for Chrismas after getting me a very expensve laptop that did not work after 2 days.
1324	;resolution	The resolution is even higher then any other laptop on the market.
1325	";left ""mouse"" button"	"Then just the other day, my left ""mouse"" button snapped!"
1326	;keyboard;feature;type	It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.
1327	";casing;15"";17"""	"Laptop is advertised as a 15"" but the casing looks like that of a 17""."
1328	;feel	The feel of this machine compared to the old MacBook is far superior.
1329	;hard disc	In due course, I'll remove the hard disc from this new MacBook Pro and dump it where it belongs - in the trash.
1330	;virus protection programs for a mac	They break down just as often as PCs do, and the only reason they don't get viruses, is because no one makes viruses for them, they're not better in any way, they are worse, try finding virus protection programs for a Mac, they don't exist.
1331	;screen;hdmi	But with A WAY Bigger Screen, and IS able to connect to an HDMI.
1332	;graphics;wireless switch	the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.
1333	;build quality	The overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook.
1334	;technical person	I guess he was the technical person.
1335	;mouse	A seventy dollar mouse!
1336	;shipped	The repairs were made quickly though I must say, however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me.
1337	;size	when i first got it i thought the size of it was a joke.
1338	;internet connection	It is fast and i have not had a problem with internet connection or any other problems.
1339	;quality;performance;price	I'm really impressed with the quality and performance for the price of the computer.
1340	;recovery dvds;driver/application dvd	But when I received my replacement, I made BOTH recovery DVDs (4), and a driver/application DVD.
1341	;photo detection software	In addition, there is photo detection software that will allow you to group all the photos together based upon the people in the picture.
1342	;speakers	The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better.
1343	;price	So then you may be lucky to get ahold to someone who understands that its no good and they will let you send it back, but of course you are taking a chance of them testing it out to see what has happened, and they tell you that it was not on their side , then you are stuck paying for the repair (the price of a new one).
1344	;use	It is so simple to use, I use it more than my desktop.
1345	;touchpad;screen;mouse pointer	I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.
1346	;hardware	I have had no problems with it unlike some hardware defects on past models.
1347	;keyboard	EITHER WAY, THE KEYBOARD IS UNSATISFACTORY.
1348	;windows	Well, I have to say since I bought my Mac, I won't ever go back to any Windows.
1349	;cost	I took it in to the Apple store and guess what? They fixed it, no cost out of pocket.
1350	;quality;engineering design;warranty	The quality, engineering design and warranty are superior--covers damage from dropping the laptop.
1351	;applications	The applications are also very easy to find and maneuver, much easier than any other computer I have ever owned.
1352	;screen	The large screen gives you the option to comfortably watch movies or TV shows on your computer instead of buying an additional TV for your dorm room.
1353	;use	Great laptop for school, easy to use for beginners in the household.
1354	;work	4) Laptop still did not work, blue screen within a week...
1355	;speakers	The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that.
1356	;hinges	Of course, I inspected the other netbooks and clearly their hinges are tighter and I even demonstrate the difference between my netbook and others.
1357	;programs	Not to mention the fact that your mac comes fully loaded with all necessary basic programs.
1358	;work	Didn't work when shipped from Walmart.com but went into a store and exchanged for a working laptop (same make/model).
1359	;customer service	If this is an improvement in Customer Service then I would hate too see what it was before!
1360	;programs;keynote;pages;numbers	All of the programs (Keynote, Pages, Numbers) have an option to save your documents as Microsoft compatible, which really eliminates the need for the actual.
1361	;expense;run	Sure, the initial out of pocket expense is greater, but that should not dissuade anyone from the fact that these machines run like none other on the planet, and when I factor in all the money in that I wasted on Geek Squad and the latest patches to de-corrupt my infested PCs, it probably comes out about even anyhow.
1362	;components;price;price	"The best thing to do is build your own computer, but if u can't company's like dell who allow you to choose the components are better and for the same price you can get a computer who compares to one of apple $2000 systems and if you google ""dell coupons"" you can find codes that take a signifant  amount off the price."
1363	;cd drive	There is no cd drive on the computer, which defeats the purpose of keeping files on a cd.
1364	;price	For me I was lucky and a local store was selling them for $2000 off and Best Buy matched their price so I was able to buy one for under $1000
1365	;quality	Unfortunately, Apple's quality has continued to slide.
1366	;quality;price	I believe that the quality of a mac is worth the price.
1367	;pointer	sometimes you will be moving your finger and the pointer will not even move.
1368	;shipping;price;budget	"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product."
1369	;life span	I would rate this computer at 5 stars, but considering it has a short life span I can only give it 1 and implore anyone looking at laptops to stay away from this machine.
1370	;design;looks;feel;my toshiba feature	I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.
1371	;layout	The layout of the MacBook is horrible and confusing;
1372	;one of the programs	Was not happy with one of the programs on it.
1373	;use	Also it is very good for college students who just need a reliable, easy to use computer.
1374	;touchpad;usb;touchpad	The first one sent: Touchpad didn't work The second sent: USB didn't work The third sent: Touchpad didn't work The fourth sent: Hasn't arrived yet.
1375	;iwork;office;word processor;windows;document creation	Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office.
1376	;battery	It is light and the battery last a very long time.
1377	;memory;memory stick;memory stick	  And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended).
1378	;keys;keyboard;button below the mouse pad;screen;paint	Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.
1379	;lightscribe	The next time I had an issue my lightscribe wouldn't work.
1380	;touchpad	The touchpad is extremely sensitive, which is the only drawback.
1381	;applications;iphoto;photo application	also it comes with very useful applications like iphoto that it is the best photo application i have ever had
1382	;bluetooth;fingerprint reader;screen;mic;dual touchpad mode;usb ports;webcam;use;runs	-Bluetooth (2.1), Fingerprint Reader, Full 1920x1080 screen -Integrated Mic/Webcam* -Dual touchpad mode is interesting, and easy to use -5 USB ports -Runs about 38-41C on idle, Up to 65 (for me) on load -Very quiet -I could go on and on.
1383	;word	They don t translate from a Mac, even on Word, resulting in a ton of run-on sentences.
1384	;17 ince screen;screen	The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.
